Projeto;Autor;Autor_isolado;Ementa;Assunto;Indicado_por;Quem_avaliou;Qual_avaliacao;Tem_outros_autores;Situacao;Analise
PL 4059/2012;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;#VALOR!;Regulamenta o art. 190, da Constituição Federal, altera o art. 1º, da Lei nº 4.131, de 3 de setembro de 1962, o art. 1º da Lei nº 5.868, de 12 de dezembro de 1972 e o art. 6º Lei nº 9.393, de 19 de dezembro de 1996 e dá outras providências.;Aquisição de terras por estrangeiros (Critérios de aquisição de áreas rurais e suas utilizações, por pessoas físicas e jurídicas estrangeiras);Contag e Fase;Contag e Fase;Desfavorável;;;
PL 7780/2017;CPI Funai e Incra;CPI FUNAI E INCRA;Altera a Lei nº 8.629, de 25 de fevereiro de 1993, para que as atividades do Incra em imóveis que se pretende destinar à reforma agrária somente sejam permitidas, em caso de disputa judicial sobre o bem, após a imissão na posse por decisão colegiada.;Só permite desapropriação de lotes para reforma agrária, após autorização judicial de órgão colegiado;Contag;Contag;Desfavorável;;;
PL 7779/2017;CPI Funai e Incra;CPI FUNAI E INCRA;Altera o Código Penal para tipificar expressamente a transmissão irregular de lotes da Reforma Agrária;Criminaliza troca de lotes da reforma agrária;Contag;Contag;Desfavorável;;;
PL 334/2015;Marco Tebaldi (PSDB/SC);MARCO TEBALDI;Altera o art. 4º da Lei nº 1283 de 18 de dezembro de 1.950, regulamentado pelo decreto nº 30.691 de 29 de março de 1952, que dispõe sobre a inspeção industrial e sanitária dos produtos de origem animal, e dá outras providências.;Permite que Estados e Municípios realizem a inspeção sanitária de produtos de origem animal.;Contag;Contag;Favorável;;;
PL 3200/2015;Covatti Filho (PP/RS);COVATTI FILHO;Dispõe sobre a Política Nacional de Defensivos Fitossanitários e de Produtos de Controle Ambiental, seus Componentes e Afins, bem como sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de defensivos fitossanitários e de produtos de controle ambiental, seus componentes e afins, e dá outras providências.;plano nacional de apoio aos agrotóxicos. cria outro nome para agrotóxicos e facilita a liberação dos venenos;Contag;Contag;Desfavorável;;;
PL 3615/2012;Padre João (PT/MG);PADRE JOÃO;Acrescenta dispositivo à Lei nº 7.802, de 11 de julho de 1989, para obrigar as empresas de aviação agrícola a enviar cópias de prescrições de agrotóxicos e relatórios anuais aos órgãos competentes.;Regras para pulverização aérea;Contag;Contag;Favorável;;;
PL 3986/2000;Dr. Rosinha (PT/PR);DR. ROSINHA;Dispõe sobre a notificação compulsória dos casos de intoxicação por agrotóxicos.;Alertas para intoxicação agrotóxica;Contag;Contag;Favorável;;;
MP 793/2017;Poder Executivo;#VALOR!;Institui o Programa de Regularização Tributária Rural junto à Secretaria da Receita Federal do Brasil e à Procuradoria-Geral da Fazenda Nacional.;Anistia às empresas rurais que estão devendo para a Receita;Contag;Contag;Desfavorável;;;
PL 8107/2017;Poder Executivo;PODER EXECUTIVO;Altera os limites da Floresta Nacional do Jamanxim e cria a Área de Proteção Ambiental do Jamanxim, localizadas no Município de Novo Progresso, Estado do Pará.;Diminui a área de preservação da Floresta Nacional do Jamanxin;Contag;Contag;Desfavorável;;;
PL 792/2007;Anselmo de Jesus (PT/RO);ANSELMO DE JESUS;Dispõe sobre a definição de serviços ambientais e dá outras providências.;Definição de serviços ambientais e auxílio monetário a quem o faz;Contag e ISA;Contag e ISA;Favorável;;;
PL 6442/2016;Nilson Leitão (PSDB/MT);NILSON LEITÃO;Institui normas reguladoras do trabalho rural e dá outras providências. Explicação: Revoga a Lei nº 5.889, de 1973 e a Portaria nº 86, de 2005.;Altera todas as normas regulamentadora do trabalho rural;Contag e ISA;Contag e ISA;Desfavorável;;;
PL 827/2015;Dilceu Sperafico (PP/PR);DILCEU SPERAFICO;Altera a Lei nº 9.456, de 25 de abril de 1997, que institui a Lei de Proteção de Cultivares e dá outras providências.;Altera regras de propriedade intelectual de variedade de plantas e sementes;Contag, ISA e CPT;Contag, ISA e CPT;Desfavorável;;;
PEC 287/2016;Poder Executivo;#VALOR!;Altera os arts. 37, 40, 109, 149, 167, 195, 201 e 203 da Constituição, para dispor sobre a seguridade social, estabelece regras de transição e dá outras providências;Reforma da Previdência;Contag, Cimi e CPT;Contag;Desfavorável;;;
PDC 118/2015;Adilton Sachetti (PSB/MT)                                                                                                                   ;ADILTON SACHETTI;Autoriza, nos termos do § 3º do art. 231 da Constituição Federal, o aproveitamento dos recursos hídricos, mediante realização prévia dos Estudos de Viabilidade Técnica, Econômica e Ambiental - EVTEA, dos projetos de engenharia e dos demais Estudos Ambientais, na hidrovia do Rio Paraguai, localizada no trecho da foz rio Apa, no Estado do Mato Grosso do Sul, até a cidade de Cáceres, no Estado do Mato Grosso.;Uso dos recursos hídricos na hidrovia do Rio Paraguai;Cimi;Cimi e ISA;Desfavorável;;;
PDC 119/2015;Adilton Sachetti (PSB/MT)                                                                                                                   ;ADILTON SACHETTI;Autoriza, nos termo do § 3º do art. 231 da Constituição Federal, o aproveitamento dos recursos hídricos, mediante realização prévia dos Estudos de Viabilidade Técnica, Econômica e Ambiental - EVTEA, dos projetos de engenharia e dos demais Estudos Ambientais, na hidrovia do Rio Tapajós, localizada no trecho da sua foz, no rio Amazonas, no Estado do Pará, até à confluência dos rios Juruena e Teles Pires, na divisa dos Estados do Pará, Amazonas e Mato Grosso, na hidrovia do Rio Teles Pires, localizada entre a confluência com o rio Juruena, no Estado do Pará, até à foz do rio Verde, no município de Sinop, no Estado do Mato Grosso e na hidrovia do Rio Juruena, localizada entre a confluência com o rio Teles Pires, no Estado do Pará, até o município de Juína, no Estado do Mato Grosso.;Uso dos recursos hídricos nas hidrovias dos rios Tapajós, Teles Pires e Juruena;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PDC 120/2015;Adilton Sachetti (PSB/MT)                                                                                                                   ;ADILTON SACHETTI;Autoriza, nos termos do § 3º do art. 231 da Constituição Federal, o aproveitamento dos recursos hídricos, mediante realização prévia dos Estudos de Viabilidade Técnica, Econômica e Ambiental - EVTEA, dos projetos de engenharia e dos demais Estudos Ambientais, na hidrovia do Rio Tocantins, localizada no trecho da sua foz, no Estado do Pará, até o Lago da Barragem de Serra da Mesa, na confluência com o rio Tocantizinho, no Estado de Goiás, na hidrovia do Rio Araguaia, localizada no trecho da sua foz, no rio Tocantins, no Estado do Pará, até a foz do ribeirão Guariroba, no Estado de Goiás e na hidrovia do Rio das Mortes, localizada na foz do rio Araguaia, no Estado do Mato Grosso, até Nova Xavantina, no Estado do Mato Grosso.;Uso dos recursos hídricos na hidrovia dos Rio Tocantins e Rio das Mortes ;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PDC 1260/2013;Luis Carlos Heinze (PP/RS) ;LUIS CARLOS HEINZE;Susta a Portaria n° 498, de 25 de abril de 2011, do Ministro de Estado da Justiça, que declara de posse permanente do grupo indígena Kainganga Terra Indígena Passo Grande do Rio  Forquilha, localizada nos municípios de Cacique Doble e Sananduva, no estado do Rio Grande do Sul. ;Retira a posse dos Kaingang da Terra Indígena Passo Grande do Rio Forquilha, no Rio Grande do Sul;Cimi;Cimi;Desfavorável;;;
PDC 1261/2013;Luis Carlos Heinze (PP/RS) ;LUIS CARLOS HEINZE;Susta a Portaria n° 3.895, de 23 de janeiro de 2004, do Ministro de Estado da Justiça, Márcio Thomaz Bastos, que declara de posse permanente do grupo indígena Kaingang a Terra Indígena Rio dos Índios, localizada no município de Vicente Dutra, no estado do Rio Grande do Sul. ;Retira posse do grupo indígena Kaingang da Terra Indígena Rio dos Índios, no Rio Grande do Sul;Cimi e CPT;Cimi e CPT;Desfavorável;;;
PDC 1300/2013;Nilson Leitão (PSDB/MT);NILSON LEITÃO;Susta a aplicação da Instrução Normativa nº 01/2012 da Fundação Nacional do Índio, publicada no Diário Oficial da União de 12/01/2012, que versa sobre novas prerrogativas desse órgão nos processos de licenciamento ambiental de terras indígenas e de seu entorno.;Retira da Funai prerrogativa de fazer exigências para obras em áreas indígenas ou próximas;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PDC 1346/2008;Homero Pereira (PR/MT);HOMERO PEREIRA;Susta o Decreto nº 1.775, de 8 de janeiro de 1996, que dispõe sobre o procedimento administrativo de demarcação das terras indígenas e dá outras providências;Mudança na demarcação de terras indígenas;Cimi;CImi;Desfavorável;;;
PDC 1465/2014;Nilson Leitão (PSDB/MT);NILSON LEITÃO;Susta a aplicação da Portaria Interministerial nº 419/2011 dos Ministérios do Meio Ambiente, da Justiça, da Cultura e da Saúde, publicada no Diário Oficial da União de 28 de outubro de 2011, que versa sobre a atuação dos órgãos e entidades da Administração Pública Federal, envolvidos no licenciamento ambiental, tendo em vista a extrapolação de competência.;Mudanças no processo de licenciamento ambiental;Cimi, ISA e CPT;Cimi, ISA e CPT;Desfavorável;;;
PDC 2540/2006;Mozarildo Cavalcanti (PTB/RR);MOZARILDO CAVALCANTI;Autoriza, nos termos do § 3º do art. 231 da Constituição Federal, o aproveitamento dos recursos hídricos, incluídos os potenciais energéticos, situados na Cachoeira do Tamanduá, na região do Rio Cotingo, em Roraima.;Autoriza construção de hidrelétrica no Rio Contigo;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PDC 348/2016;Jerônimo Goergen (PP/RS);JERÔNIMO GOERGEN;"Susta o ""Decreto de 29 de abril de 2016, que homologa a demarcação administrativa da terra indígena Piaçaguera, localizada no Município de Peruíbe, Estado de São Paulo";Suspende homologação a terra indígenas Piaçaguera, em SP;Cimi;Cimi;Desfavorável;;;
PDC 381/1999;José Borba (PTB/PR);JOSÉ BORBA;Dispõe sobre a Autorização do Uso de Terras Indígenas na Região de São Jerônimo da Serra, no Rio Tibagi, de acordo com o art. 231, § 3º da Constituição Federal. Dispõe que o Grupo Indígena Kaingang terá direito a 1% (um por cento) do valor a ser distribuido a título de royalties aos municípios inundados pelo reservatório da usina hidrelétrica de São Jerônimo. ;Royalties aos índios Kaingang pela área inundada para o reservatório da usina hidrelétrica de São Jerônimo;Cimi e ISA;Cimi e ISA;Não precisa;;;
PDC 388/2016;Jerônimo Goergen (PP/RS);JERÔNIMO GOERGEN;"Susta o ""Processo FUNAI/BSB nº 08620.015148/2013-86, aprovado pelo despacho do PRESIDENTE DA FUNDAÇÃO NACIONAL DO ÍNDIO - FUNAI, em conformidade com o § 7º do art. 2º do Decreto 1.775/96, tendo em vista e considerando o Resumo do Relatório Circunstanciado de Identificação e Delimitação da Terra Indígena Mato Castelhano - Fág Ty Ka, de ocupação do povo indígena Kaingang, localizada no município de Mato Castelhano, Estado do Rio Grande do Sul"".";Suspender homolação da terra indígena Mato Castelhano - Fág Ty Ka, de ocupação do povo indígena Kaingang, no RS;Cimi;Cimi;Desfavorável;;;
PDC 419/2016;Carlos Henrique Gaguim (PTN/TO);CARLOS HENRIQUE GAGUIM;Susta a Portaria nº 566, de 11 de maio de 2016, do Ministério da Justiça, que declara de posse permanente do grupo indígena Avá-Canoeiro do Araguaia a Terra Indígena TAEGO ÃWA, localizada no estado de Tocantins.;Retira posse do grupo indígena Avá-Canoeiro do Araguaia da terra Taego Ãwa, no Tocantins;Cimi;Cimi;Desfavorável;;;
PDC 635/2017;Josué Bengtson (PTB/PA);JOSUÉ BENGTSON;Susta os efeitos do Decreto do Presidente da República, de 19 de abril de 2007, sem número, que homologa a demarcação administrativa da Terra Indígena Apyterewa, localizada no Município de São Félix do Xingu, no Estado do Pará;Suspende homolação da terra indígena Apyterewa, no Pará;Cimi;Cimi;Desfavorável;;;
PDC 636/2017 ;Nilson Leitão (PSDB/MT);NILSON LEITÃO;Susta a aplicação do Decreto de 24 de abril de 2013, que homologa a demarcação administrativa da Terra Indígena Kayabi, localizada nos Municípios de Apiacás, no Estado de Mato Grosso, e Jacareacanga, no Estado do Pará. ;Suspende homolação das terras indígenas Kayabi, no MT, e Jacareacanga, no Pará;Cimi;Cimi;Desfavorável;;;
PDC 712/2012;Alceu Moreira (PMDB/RS);ALCEU MOREIRA;Susta a Portaria nº 2.222, de 21 de setembro de 2012, do Ministro de Estado da Justiça, José Eduardo Cardozo, que declara de posse permanente do grupo indígena Guarani Chiripá e Mbya a Terra Indígena Mato Preto, localizada nos municípios de Erebango, Erechim e Getúlio Vargas, Estado do Rio Grande do Sul. ;Retira a posse do grupo indígena Guarani Chiripá e Mbya da terra Mato Preto, no RS;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PEC 132/2015;Senado (Paulo Bauer (PSDB/SC));SENADO;Altera o § 6º do art. 231 da Constituição Federal e acrescenta art. 67-A ao Ato das Disposições Constitucionais Transitórias, para permitir a indenização de possuidores de títulos dominiais relativos a áreas declaradas como indígenas e homologadas a partir de 5 de outubro de 2013.;Altera indenização sobre desapropriação de terras;Cimi;Cimi;Favorável (parcialmente);;;
PEC 133/1992;Nicias Ribeiro (PMDB/PA);NICIAS RIBEIRO;Acrescenta parágrafo ao art. 231 da Constituição Federal. Exige a autorização previa do Congresso Nacional para a demarcação das terras indigenas, apos a aprovação da extensão e dos limites territoriais da area que compreende a reserva indigena.;Congresso precisa aprovar demarcação de terras indígenas;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PEC 187/2016;Vicentinho Júnior (PSB/TO);VICENTINHO JÚNIOR;Acrescenta o §8º ao art. 231 da Constituição Federal de 1988, a fim de permitir às comunidades indígenas praticar atividades agropecuárias e florestais em suas terras, bem como, comercializar aquilo que foi produzido e gerenciar sua renda.;Permite às comunidades indígenas praticar e comercializar atividades agropecuárias e florestais em suas terras;Cimi, ISA e CPT;Cimi, ISA e CPT;Desfavorável;;;
PEC 215/2000;Almir Sá (PPB/RR);ALMIR SÁ;"Acrescenta o inciso XVIII ao art. 49; modifica o § 4º e acrescenta o § 8º ambos no art. 231, da Constituição Federal. Inclui dentre as competências exclusivas do Congresso Nacional a aprovação de demarcação das terras tradicionalmente ocupadas pelos índios e a ratificação das demarcações já homologadas; estabelecendo que os critérios e procedimentos de demarcação serão regulamentados por lei. ";Transfere ao Congresso a aprovação de demarcação de terras indígenas;Cimi, ISA, Fase e CPT;Cimi, ISA, Fase e CPT;Desfavorável;;;
PEC 237/2013;Nelson Padovani (PSC/PR);NELSON PADOVANI;Acrescente-se o art. 176-A no texto Constitucional para tornar possível a posse indireta de terras indígenas à produtores rurais na forma de concessão.;Autoriza arrendamento de terras indígenas para produtores rurais;Cimi;Cimi;Desfavorável;;;
PEC 416/2014;Vilson Covatti (PP/RS);VILSON COVATTI;Altera o artigo 185 da Constituição Federal. Torna insuscetíveis de desapropriação para fins de regularização fundiária e para fins de demarcação de terras indígenas e quilombolas a pequena e média propriedade rural e a propriedade produtiva. ;Restringe demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PL 1610/1996;Senado (Senador Romero Jucá (PMDB/RR));ROMERO JUCÁ;Dispõe sobre a exploração e o aproveitamento de recursos minerais em terras indígenas, de que tratam os arts. 176, parágrafo 1º, e 231, parágrafo 3º, da Constituição Federal.;Libera mineração em terras indígenas;Cimi, Fase, ISA e CPT;Cimi, Fase, ISA e CPT;Desfavorável;;;
PL 2395/2015;Vicentinho Júnior (PSB/TO);VICENTINHO JÚNIOR;"Modifica a Lei no 6.001/73, que ""dispõe sobre o Estatuto do Índio"", para acrescentar o inciso IV ao art. 39, alterar o art. 42, caput, acrescentar o §2º ao art. 42 e revogar o art. 43, a fim de permitir às comunidades indígenas praticar atividades agropecuárias e florestais em suas terras, bem como, comercializar aquilo que foi produzido e gerenciar a renda obtida. ";Permite às comunidades indígenas praticar e comercializar atividades agropecuárias e florestais em suas terras;Cimi;Cimi;Desfavorável;;;
PL 3226/2008;Senado (senador Papaleo Paes (PSDB/AP));PAPALEO PAES;Altera a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio Ambiente e dá outras providências, para dar prioridade aos projetos que tenham sua área de atuação em municípios que possuam parte de suas áreas dentro dos parques nacionais ou de reservas indígenas. ;Orienta o uso de recursos do Fundo Nacional do Meio Ambiente;Cimi;Cimi;Não precisa;;;
PL 3501/2015;Poder Executivo;#VALOR!;Autoriza o Poder Executivo federal a instituir serviço social autônomo denominado Instituto Nacional de Saúde Indígena.;Privatização da saúde indígena;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PL 490/2007;Homero Pereira (PR/MT);HOMERO PEREIRA;Altera a Lei n° 6.001, de 19 de dezembro de 1973, que dispõe sobre o Estatuto do Índio. Estabelece que as terras indígenas serão demarcadas através de leis.;Transfere ao Congresso a demarcação de terras indígenas;Cimi e ISA;Cimi e ISA;Desfavorável;;;
PL 5993/2009;Félix Mendonça (DEM/BA);FÉLIX MENDONÇA;Altera a Lei nº 6.001, de 19 de dezembro de 1973. Estabelece condicionantes para a demarcação e homologação de terras indígenas.;Altera processo de demarcação e homologação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 260/1990;Senado (senador Carlos Patrocínio PFL/TO);CARLOS PATROCÍNIO;"Define a hipótese de ""relevante interese público da União"", para os fins previstos no art. 231, parágrafo 6º, da Constituição. Dispõe sobre a exploração das riquezas materiais do solo, dos rios e dos lagos em terras indígenas. Regulamenta dispositivos da Constituição Federal de 1988. ";Altera processo de demarcação de terras indígenas;Cimi e ISA;Cimi e ISA;Desfavorável;;;
RCP 26/2016;Nilson Leitão (PSDB/MT);NILSON LEITÃO;Requer-se, nos termos do § 3° do art. 58 da Constituição Federal, combinado com o art. 35 do Regimento Interno da Câmara dos Deputados, a criação de Comissão Parlamentar de Inquérito destinada a investigar fatos relativos à Fundação Nacional do Índio (FUNAI) e ao Instituto Nacional de Colonização e Reforma Agrária (INCRA) nos termos que especifica.;Criação da CPI Funai-Incra;Cimi e CPT;Cimi e CPT;Desfavorável;;;
PLP 227/2012;Homero Pereira (PSD/MT);HOMERO PEREIRA;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Reinaldo Azambuja (PSDB/MS);REINALDO AZAMBUJA;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Carlos Magno (PP/RO);CARLOS MAGNO;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;João Carlos Bacelar (PR/BA);JOÃO CARLOS BACELAR;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Luis Carlos Heinze (PP/RS);LUIS CARLOS HEINZE;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Giovanni Queiroz (PDT/PA);GIOVANNI QUEIROZ;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Nilson Leitão (PSDB/MT);NILSON LEITÃO;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Marcos Montes (PSD/MG);MARCOS MONTES;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Roberto Balestra (PP/GO);ROBERTO BALESTRA;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Valdir Colatto (PMDB/SC);VALDIR COLATTO;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Domingos Sávio (PSDB/MG);DOMINGOS SÁVIO;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Paulo Cesar Quartiero (DEM/RR);PAULO CESAR QUARTIERO;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Josué Bengtson (PTB/PA);JOSUÉ BENGTSON;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Oziel Oliveira (PDT/BA);OZIEL OLIVEIRA;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Francisco Araújo (PSD/RR);FRANCISCO ARAÚJO;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PLP 227/2012;Jerônimo Goergen (PP/RS);JERÔNIMO GOERGEN;Regulamenta o § 6º do art. 231, da Constituição Federal de 1988 definindo os bens de relevante interesse público da União para fins de demarcação de Terras Indígenas.;Altera processo de demarcação de terras indígenas;Cimi;Cimi;Desfavorável;;;
PL 5843/2016;Lucio Mosquini (PMDB/RO);LUCIO MOSQUINI;Regulamenta o disposto no inciso II do art. 20 da Constituição Federal, que trata das terras devolutas da União, e dá outras providências. ;Abre precedente para transferência terras públicas a particulares;Fase;Fase;Desfavorável;;;
PL 6717/2016;Afonso Hamm (PP/RS);AFONSO HAMM;Disciplina sobre o porte rural de arma de fogo;Libera o porte de arma para trabalhadores ou proprietários de áreas rurais maiores de 25 anos, nos limites da propriedade rural;Fase;Fase;Desfavorável;;;
PL 3729/2004;Luciano Zica (PT/SP);LUCIANO ZICA;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase e ISA;Fase e ISA;Desfavorável;Sim;;
PL 3729/2004;Walter Pinheiro (PT/BA);WALTER PINHEIRO;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
PL 3729/2004;Zezéu Ribeiro (PT/BA);ZEZÉU RIBEIRO;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
PL 3729/2004;Iriny Lopes (PT/ES);IRINY LOPES;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
PL 3729/2004;João Grandão (PT/MS);JOÃO GRANDÃO;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
PL 3729/2004;Nazareno Fonteles (PT/PI);NAZARENO FONTELES;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
PL 3729/2004;Luci Choinacki (PT/SC);LUCI CHOINACKI;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
PL 3729/2004;Vignatti (PT/SC);VIGNATTI;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
PL 3729/2004;Mauro Passos (PT/SC);MAURO PASSOS;Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências.;"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988. Alterações no projeto podem permitir a flexibilização do processo de licenciamento ambiental";Fase;Fase;Desfavorável;Sim;;
